location,rating,time_text,exact_time,scraped_at
Daebak Chinatown,1.0,10 hours ago,2025-03-18 13:17:20.395252,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a day ago,2025-03-17 23:17:20.413675,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,2 days ago,2025-03-16 23:17:20.433871,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 days ago,2025-03-16 23:17:20.454041,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 days ago,2025-03-16 23:17:20.476584,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 days ago,2025-03-14 23:17:20.494075,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,a week ago,2025-03-11 23:17:20.512137,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a week ago,2025-03-11 23:17:20.531341,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,a week ago,2025-03-11 23:17:20.549230,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,2 weeks ago,2025-03-04 23:17:20.566960,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 weeks ago,2025-03-04 23:17:20.584390,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,2 weeks ago,2025-03-04 23:17:20.602001,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,2 weeks ago,2025-03-04 23:17:20.619261,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,2 weeks ago,2025-03-04 23:17:20.636539,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,2 weeks ago,2025-03-04 23:17:20.653664,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.671291,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.689230,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.706076,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.723463,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.740725,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,3 weeks ago,2025-02-25 23:17:20.760169,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 weeks ago,2025-02-25 23:17:20.779443,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,3 weeks ago,2025-02-25 23:17:20.798073,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a month ago,2025-02-16 23:17:20.818153,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,a month ago,2025-02-16 23:17:20.835882,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.853432,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.871707,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.889195,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.906318,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.923362,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a month ago,2025-02-16 23:17:20.941020,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a month ago,2025-02-16 23:17:20.959053,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 months ago,2025-01-17 23:17:20.976583,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 months ago,2025-01-17 23:17:20.994338,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,2 months ago,2025-01-17 23:17:21.011570,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,2 months ago,2025-01-17 23:17:21.029262,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,2 months ago,2025-01-17 23:17:21.047385,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 months ago,2024-12-18 23:17:21.064184,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,3 months ago,2024-12-18 23:17:21.081989,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 months ago,2024-12-18 23:17:21.099488,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,3 months ago,2024-12-18 23:17:21.118840,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,3 months ago,2024-12-18 23:17:21.154413,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,3 months ago,2024-12-18 23:17:21.180022,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,3 months ago,2024-12-18 23:17:21.197268,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,4 months ago,2024-11-18 23:17:21.215518,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,4 months ago,2024-11-18 23:17:21.234946,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,4 months ago,2024-11-18 23:17:21.253787,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.271611,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.289001,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.306187,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,4 months ago,2024-11-18 23:17:21.324366,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.341653,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.359721,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.378605,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,4 months ago,2024-11-18 23:17:21.395865,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.413575,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.431791,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,4 months ago,2024-11-18 23:17:21.450856,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,4 months ago,2024-11-18 23:17:21.470746,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,4 months ago,2024-11-18 23:17:21.496530,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,4 months ago,2024-11-18 23:17:21.538670,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,5 months ago,2024-10-19 23:17:21.556630,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,5 months ago,2024-10-19 23:17:21.573776,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,5 months ago,2024-10-19 23:17:21.591108,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,5 months ago,2024-10-19 23:17:21.608923,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,5 months ago,2024-10-19 23:17:21.626315,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,5 months ago,2024-10-19 23:17:21.643671,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,5 months ago,2024-10-19 23:17:21.661131,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,5 months ago,2024-10-19 23:17:21.678703,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,6 months ago,2024-09-19 23:17:21.696106,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,6 months ago,2024-09-19 23:17:21.713277,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,6 months ago,2024-09-19 23:17:21.730676,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,6 months ago,2024-09-19 23:17:21.748016,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,6 months ago,2024-09-19 23:17:21.766295,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,6 months ago,2024-09-19 23:17:21.786323,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,6 months ago,2024-09-19 23:17:21.803552,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,6 months ago,2024-09-19 23:17:21.865450,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,6 months ago,2024-09-19 23:17:21.885763,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,6 months ago,2024-09-19 23:17:21.903277,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,6 months ago,2024-09-19 23:17:21.920353,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,6 months ago,2024-09-19 23:17:21.937472,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,7 months ago,2024-08-20 23:17:21.954938,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:21.973029,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,7 months ago,2024-08-20 23:17:21.991183,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,7 months ago,2024-08-20 23:17:22.008660,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,7 months ago,2024-08-20 23:17:22.025937,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,7 months ago,2024-08-20 23:17:22.043590,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.061984,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,7 months ago,2024-08-20 23:17:22.079795,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.096843,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.115400,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.132783,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,7 months ago,2024-08-20 23:17:22.150495,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.168225,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.185251,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,7 months ago,2024-08-20 23:17:22.202619,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,7 months ago,2024-08-20 23:17:22.219933,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,7 months ago,2024-08-20 23:17:22.238401,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,7 months ago,2024-08-20 23:17:22.258351,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,8 months ago,2024-07-21 23:17:22.276127,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.293943,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.329661,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.348179,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.367500,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.389590,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.406946,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,8 months ago,2024-07-21 23:17:22.423862,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,8 months ago,2024-07-21 23:17:22.441634,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.459818,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,8 months ago,2024-07-21 23:17:22.479663,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,8 months ago,2024-07-21 23:17:22.519212,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,9 months ago,2024-06-21 23:17:22.537352,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,9 months ago,2024-06-21 23:17:22.555489,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,9 months ago,2024-06-21 23:17:22.573480,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,9 months ago,2024-06-21 23:17:22.591075,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,9 months ago,2024-06-21 23:17:22.608183,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,9 months ago,2024-06-21 23:17:22.625529,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,9 months ago,2024-06-21 23:17:22.643291,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,10 months ago,2024-05-22 23:17:22.661798,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,10 months ago,2024-05-22 23:17:22.704734,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,10 months ago,2024-05-22 23:17:22.721693,2025-03-18 23:17:20.359314
Daebak Chinatown,2.0,10 months ago,2024-05-22 23:17:22.739120,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,10 months ago,2024-05-22 23:17:22.778447,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,10 months ago,2024-05-22 23:17:22.799120,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,10 months ago,2024-05-22 23:17:22.819146,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,10 months ago,2024-05-22 23:17:22.836933,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,10 months ago,2024-05-22 23:17:22.871657,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,10 months ago,2024-05-22 23:17:22.889494,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,10 months ago,2024-05-22 23:17:22.906847,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,11 months ago,2024-04-22 23:17:22.924420,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:22.941725,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:22.958944,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:22.977099,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:22.994464,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,11 months ago,2024-04-22 23:17:23.012003,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:23.029485,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:23.046936,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:23.064881,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:23.084068,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,11 months ago,2024-04-22 23:17:23.101568,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a year ago,2024-03-18 23:17:23.119246,2025-03-18 23:17:20.359314
Daebak Chinatown,1.0,a year ago,2024-03-18 23:17:23.136621,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a year ago,2024-03-18 23:17:23.153646,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a year ago,2024-03-18 23:17:23.171308,2025-03-18 23:17:20.359314
Daebak Chinatown,3.0,a year ago,2024-03-18 23:17:23.207818,2025-03-18 23:17:20.359314
Daebak Chinatown,4.0,a year ago,2024-03-18 23:17:23.226966,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a year ago,2024-03-18 23:17:23.244608,2025-03-18 23:17:20.359314
Daebak Chinatown,5.0,a year ago,2024-03-18 23:17:23.265094,2025-03-18 23:17:20.359314
